credits1,credits2,credits_earned1,credits_earned2,session1,winter_ac_standing,GPA_year1,GPA_year2,CGPA_year1,CGPA_year2,totcredits_year1,totcredits_year2,goodstanding_year1,goodstanding_year2,winter_ac_stand_year1,winter_ac_stand_year2,fallreg_year1,fallreg_year2,act_fallreg_year1,act_fallreg_year2,summerreg_year1,summerreg_year2,sex,mtongue,identifier,age_at_entry,bpl_north_america,bpl_asia,canadian,bpl_other,firstyear,yearstodegree,gradin4,gradin5,gradin6,gradin4orcont,cumcredits1,cumcredits2,prog_science,prog_socsci_bus,prog_socscihum,prog_unknown,english,noenglish,french,other_lang,female,male,gpacutoff,dist_from_cut,year2_dist_from_cut,CGPA_final,nextGPA,nextCGPA,probation_year1,probation_year2,probation_summer1,probation_summer2,probation_ever,suspended_year1,suspended_summer1,suspended_year2,suspended_summer2,suspended_ever,loc_campus1,loc_campus2,loc_campus3,all,left_school,gpalscutoff,gpaXgpalscutoff,gpaXgpagrcutoff,gpasqXgpagrcutoff,dist_from_cut_med10,dist_from_cut_med05,dist_from_cut_med025,hsgrade_pct,veryhighHS,highHS,lowHS,maleXhighHS,femaleXhighHS,maleXlowabil,femaleXlowabil,clustervar,summer,gender,birthplace,study_campus,first_language,on_probation_after_1st_year,ever_on_probation,left_university_after_1st_evaluation,ever_suspended,graduated_by_year4,graduated_by_year5,graduated_by_year6,all_students,status
2,2,2,2,19969,OKAY,1.7799999713897705,1.1799999475479126,1.7799999713897705,1.5199999809265137,4,3,1,0,OKAY,PROB,1,1,REG,REG,0,1,F,English,79,19,1,0,1,0,1996,5,0,1,1,1,2,4,0,NA,0,1,1,0,0,0,1,0,1.600000023841858,0.18000000715255737,-0.41999998688697815,2.6500000953674316,-0.4200000762939453,-0.08000004291534424,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.1799999475479126,0.032399982213974,0.15000000596046448,0.17499999701976776,0.19249999523162842,27,0,0,1,0,0,0,1,0.18000000715255737,0,Female,North America,Campus 3,English,No,Yes,No,No,No,Yes,Yes,All Students,In Good Standing
3,0,2.5,0,20009,OKAY,1.7799999713897705,NA,1.7799999713897705,NA,4.5,0,1,0,OKAY,,1,0,REG,FINCA,1,0,M,English,202,19,1,0,1,0,2000,NA,0,0,NA,0,2.5,2.5,1,0,0,0,1,0,0,0,0,1,1.600000023841858,0.18000000715255737,NA,NA,0.3999999761581421,0.2200000286102295,0,NA,0,NA,0,0,0,NA,NA,0,0,0,1,1,0,0,0,0.1799999475479126,0.032399982213974,0.15000000596046448,0.17499999701976776,0.19249999523162842,30,0,0,1,0,0,1,0,0.18000000715255737,1,Male,North America,Campus 3,English,No,No,No,No,No,No,NA,All Students,In Good Standing
3,2,3,2,19979,OKAY,1.7799999713897705,1.399999976158142,1.7799999713897705,1.600000023841858,4.5,4.5,1,1,OKAY,OKAY,1,1,REG,REG,0,0,M,Other,219,19,1,0,1,0,1997,NA,0,0,0,0,3,5,1,0,0,0,0,1,0,1,0,1,1.600000023841858,0.18000000715255737,-0.20000000298023224,NA,-0.20000004768371582,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.1799999475479126,0.032399982213974,0.15000000596046448,0.17499999701976776,0.19249999523162842,66,0,1,0,1,0,0,0,0.18000000715255737,0,Male,North America,Campus 3,Other,No,No,No,No,No,No,No,All Students,In Good Standing
3,3,3,2,20009,OKAY,1.5199999809265137,0.7099999785423279,1.5199999809265137,1.159999966621399,5,4,1,0,OKAY,PROB,1,1,REG,REG,0,0,F,English,289,19,0,1,0,0,2000,NA,0,0,NA,1,3,5,1,0,0,0,1,0,0,0,1,0,1.5,0.019999999552965164,-0.7900000214576721,NA,-0.7900000214576721,-0.3400000333786011,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0.019999980926513672,3.999992331955582e-4,0.05000000074505806,0.02500000037252903,0.032499998807907104,49,0,0,1,0,0,0,1,0.019999999552965164,0,Female,Asia,Campus 1,English,No,Yes,No,Yes,No,No,NA,All Students,In Good Standing
2,2.5,1.5,2.5,19999,PROB,1.350000023841858,2.4600000381469727,1.350000023841858,1.850000023841858,4,2.5,0,1,PROB,OKAY,1,1,REG,REG,1,1,F,English,313,18,1,0,1,0,1999,5,0,1,1,1,1.5,4,1,0,0,0,1,0,0,0,1,0,1.5,-0.15000000596046448,0.9599999785423279,2.130000114440918,0.7999999523162842,0.039999961853027344,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,-0.1499999761581421,0,0,-0.15000000596046448,-0.125,-0.14749999344348907,25,0,0,1,0,0,0,1,-0.15000000596046448,1,Female,North America,Campus 2,English,Yes,Yes,No,No,No,Yes,Yes,All Students,On Academic Probation
2.5,2.5,2.5,2.5,19989,OKAY,1.6200000047683716,NA,1.6200000047683716,NA,5,0,1,0,OKAY,,1,0,REG,CANC,0,0,F,English,317,18,0,1,0,0,1998,NA,0,0,0,0,2.5,5,0,NA,0,1,1,0,0,0,1,0,1.5,0.11999999731779099,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,0,1,0,0,1,0,0,0,0.12000000476837158,0.014400000683963299,0.15000000596046448,0.125,0.13249999284744263,46,0,0,1,0,0,0,1,0.11999999731779099,0,Female,Asia,Campus 1,English,No,No,No,No,No,No,No,All Students,In Good Standing
2.5,2.5,2.5,2.5,19999,OKAY,1.559999942779541,2.059999942779541,1.559999942779541,1.7899999618530273,5,4.5,1,1,OKAY,OKAY,1,1,REG,REG,0,0,M,English,372,19,1,0,1,0,1999,6,1,0,1,1,2.5,5,0,0,1,0,1,0,0,0,0,1,1.5,0.05999999865889549,0.5600000023841858,NA,0.559999942779541,0.28999996185302734,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.059999942779541016,0.003599993186071515,0.05000000074505806,0.07500000298023224,0.07249999791383743,3,0,0,1,0,0,1,0,0.05999999865889549,0,Male,North America,Campus 2,English,No,No,No,No,Yes,No,Yes,All Students,In Good Standing
3,1.5,2.5,1.5,20019,OKAY,1.7000000476837158,2.5299999713897705,1.7000000476837158,2.009999990463257,4,3,1,1,OKAY,OKAY,1,1,REG,REG,1,0,M,English,382,19,1,0,1,0,2001,NA,0,NA,NA,1,2.5,4,0,NA,0,1,1,0,0,0,0,1,1.600000023841858,0.10000000149011612,0.9300000071525574,1.8799999952316284,0.10000002384185791,0.10000002384185791,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.10000002384185791,0.010000004433095455,0.15000000596046448,0.125,0.11249999701976776,19,0,0,1,0,0,1,0,0.10000000149011612,1,Male,North America,Campus 3,English,No,No,No,No,No,NA,NA,All Students,In Good Standing
3,4,2.5,3.5,20039,PROB,1.4500000476837158,1.6100000143051147,1.4500000476837158,1.6299999952316284,5,5,0,1,PROB,OKAY,1,1,REG,REG,1,0,M,Other,424,19,1,0,1,0,2003,NA,NA,NA,NA,NA,2.5,6,1,0,0,0,0,1,0,1,0,1,1.5,-0.05000000074505806,0.10999999940395355,NA,2.200000047683716,0.1499999761581421,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.04999995231628418,0,0,-0.05000000074505806,-0.02500000037252903,-0.04749999940395355,74,0,1,0,1,0,0,0,-0.05000000074505806,1,Male,North America,Campus 1,Other,Yes,Yes,No,No,NA,NA,NA,All Students,On Academic Probation
3,3.5,3,3.5,19989,OKAY,1.6299999952316284,2.3299999237060547,1.6299999952316284,1.9800000190734863,4.5,5,1,1,OKAY,OKAY,1,1,REG,REG,0,0,M,English,446,18,1,0,1,0,1998,3,1,1,1,1,3,6.5,0,0,1,0,1,0,0,0,0,1,1.600000023841858,0.029999999329447746,0.7300000190734863,2.190000057220459,0.7299998998641968,0.3799999952316284,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.029999971389770508,8.999982965178788e-4,0.05000000074505806,0.02500000037252903,0.032499998807907104,41,0,0,1,0,0,1,0,0.029999999329447746,0,Male,North America,Campus 3,English,No,No,No,No,Yes,Yes,Yes,All Students,In Good Standing
2,2.5,1.5,2.5,19979,PROB,1.3300000429153442,2.8399999141693115,1.3300000429153442,2.1700000762939453,4,5,0,1,PROB,OKAY,1,1,REG,REG,0,0,F,English,460,18,1,0,1,0,1997,5,0,1,1,1,1.5,4,0,NA,0,1,1,0,0,0,1,0,1.5,-0.17000000178813934,1.340000033378601,2.8299999237060547,1.3399999141693115,0.6700000762939453,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.16999995708465576,0,0,-0.15000000596046448,-0.17499999701976776,-0.16750000417232513,27,0,0,1,0,0,0,1,-0.17000000178813934,0,Female,North America,Campus 1,English,Yes,Yes,No,No,No,Yes,Yes,All Students,On Academic Probation
3.5,2.5,3.5,2,20009,OKAY,1.6299999952316284,1.590000033378601,1.6299999952316284,1.6100000143051147,6,4.5,1,1,OKAY,OKAY,1,1,REG,REG,0,0,F,Other,488,18,1,0,1,0,2000,NA,0,0,NA,0,3.5,5.5,0,NA,0,1,0,1,0,1,1,0,1.600000023841858,0.029999999329447746,-0.009999999776482582,NA,-0.009999990463256836,0.009999990463256836,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.029999971389770508,8.999982965178788e-4,0.05000000074505806,0.02500000037252903,0.032499998807907104,19,0,0,1,0,0,0,1,0.029999999329447746,0,Female,North America,Campus 3,Other,No,Yes,No,No,No,No,NA,All Students,In Good Standing
2.5,2,2.5,2,19979,OKAY,1.7699999809265137,1.559999942779541,1.7699999809265137,1.6100000143051147,3.5,2.5,1,1,OKAY,OKAY,1,1,REG,REG,1,1,M,English,512,19,1,0,1,0,1997,NA,1,1,1,1,2.5,4.5,0,NA,0,1,1,0,0,0,0,1,1.600000023841858,0.17000000178813934,-0.03999999910593033,2.2300000190734863,-0.9000000357627869,0.039999961853027344,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.16999995708465576,0.028899986296892166,0.15000000596046448,0.17499999701976776,0.17249999940395355,32,0,0,1,0,0,1,0,0.17000000178813934,1,Male,North America,Campus 3,English,No,No,No,No,Yes,Yes,Yes,All Students,In Good Standing
3,2.5,2,2,20019,OKAY,1.6699999570846558,1.6699999570846558,1.6699999570846558,1.5700000524520874,4.5,4.5,1,1,OKAY,OKAY,1,1,REG,REG,1,0,M,Other,539,19,1,0,1,0,2001,NA,0,NA,NA,1,2,4,1,0,0,0,0,1,0,1,0,1,1.5,0.17000000178813934,0.17000000178813934,2.490000009536743,-0.800000011920929,-0.009999990463256836,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.16999995708465576,0.028899986296892166,0.15000000596046448,0.17499999701976776,0.17249999940395355,43,0,0,1,0,0,1,0,0.17000000178813934,1,Male,North America,Campus 1,Other,No,Yes,No,No,No,NA,NA,All Students,In Good Standing
2.5,1.5,2.5,1.5,19989,PROB,1.340000033378601,2.069999933242798,1.340000033378601,1.6100000143051147,5,3,0,1,PROB,OKAY,1,1,REG,REG,0,0,M,English,563,19,1,0,1,0,1998,4,1,1,1,1,2.5,4,0,NA,0,1,1,0,0,0,0,1,1.5,-0.1599999964237213,0.5699999928474426,1.7599999904632568,0.5699999332427979,0.11000001430511475,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,-0.15999996662139893,0,0,-0.15000000596046448,-0.17499999701976776,-0.14749999344348907,5,0,0,1,0,0,1,0,-0.1599999964237213,0,Male,North America,Campus 2,English,Yes,Yes,No,No,Yes,Yes,Yes,All Students,On Academic Probation
4.5,0,4.5,0,20019,OKAY,1.7799999713897705,NA,1.7799999713897705,NA,4,0,1,0,OKAY,,1,0,REG,FINCA,1,0,F,English,594,19,1,0,1,0,2001,NA,0,NA,NA,0,4.5,4.5,0,NA,0,1,1,0,0,0,1,0,1.600000023841858,0.18000000715255737,NA,NA,-0.30000007152557373,0.12000000476837158,0,NA,0,NA,1,0,0,NA,NA,0,0,0,1,1,0,0,0,0.1799999475479126,0.032399982213974,0.15000000596046448,0.17499999701976776,0.19249999523162842,1,0,0,1,0,0,0,1,0.18000000715255737,1,Female,North America,Campus 3,English,No,Yes,No,No,No,NA,NA,All Students,In Good Standing
3.5,3.5,3,3.5,19999,OKAY,1.590000033378601,2.440000057220459,1.590000033378601,2.0399999618530273,4,4.5,1,1,OKAY,OKAY,1,1,REG,REG,0,0,F,Other,608,19,1,0,1,0,1999,5,0,1,1,1,3,6.5,0,0,1,0,0,1,0,1,1,0,1.5,0.09000000357627869,0.9399999976158142,2.509999990463257,0.940000057220459,0.5399999618530273,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.09000003337860107,0.00810000579804182,0.05000000074505806,0.07500000298023224,0.0925000011920929,12,0,0,1,0,0,0,1,0.09000000357627869,0,Female,North America,Campus 1,Other,No,No,No,No,No,Yes,Yes,All Students,In Good Standing
